Question,Answer
How many campuses does SRMIST have?,"SRMIST has multiple campuses including Kattankulathur Campus in Chennai, Delhi-NCR Campus in Sonepat, Amaravati Campus in Andhra Pradesh, and Sikkim Campus. | 6: Engineering & Technology, Medicine & Health Sciences, Science & Humanities, Management, Law, Agricultural Sciences | SRMIST has 8 campuses across India. | SRM Institute of Science and Technology has 14 officially recognized student clubs across various categories. | SRM has multiple campuses across India, though the exact number isn't specified here."
What programs are offered at the Kattankulathur Campus?,"Engineering, Medicine, Pharmacy, Management, and Science programs are offered at the Kattankulathur Campus. | Engineering, Medicine, Pharmacy, Management, Science, and more."
What programs are available at the Delhi-NCR Campus?,"Engineering, Management, and Law programs are offered at the Delhi-NCR Campus in Sonepat, Haryana."
What programs are offered at the Amaravati Campus?,Engineering and Medical programs are offered at the Amaravati Campus in Andhra Pradesh.
What programs are offered at the Sikkim Campus?,Medical and Engineering programs are offered at the Sikkim Campus.
What were the major milestones in the history of SRMIST?,"Major milestones include the establishment of Florence Nightingale Primary School (1969), upgraded to Matriculation Higher Secondary School (1981), establishment of SRM College of Engineering and Technology (1985), SRM College of Nursing and SRM College of Pharmacy (1992), and being declared a Deemed to be University by UGC in 2002."
How can I contact SRMIST?,"You can contact SRMIST via phone at +91 44 2741 7500, email at admissions@srmist.edu.in, or visit their official website at https://www.srmist.edu.in | You can contact SRMIST via phone at +91-44-27417230 / 27417231 or visit their official website at https://www.srmist.edu.in/. | You can reach SRMIST via phone at +91-44-27417230 / 27417231 or visit their official website at https://www.srmist.edu.in/"
What is the official website of SRMIST?,The official website of SRMIST is https://www.srmist.edu.in | The official website of SRMIST is www.srmist.edu.in | infodesk@srmist.edu.in | SRM Institute of Science and Technology is located at Kattankulathur – 603203.
What is the phone number of SRMIST?,The phone number of SRMIST is +91 44 2741 7500. | +91 9677059138 | You can reach SRMCOT at +91 44 27456728 or +91 44 47432378.
What is the email address for admissions at SRMIST?,The email address for admissions is admissions@srmist.edu.in.
What is the postal address of SRMIST?,"SRM Institute of Science and Technology, Kattankulathur, Chengalpattu District, Tamil Nadu - 603203, India. | SRM Institute of Science and Technology, Kattankulathur – 603203. | SRM Institute of Science and Technology, Kattankulathur, Chengalpattu District, Tamil Nadu, India."
Does SRMIST have international exchange programs?,"Yes, SRMIST sponsors over 200 students annually to more than 35 foreign universities like MIT, Carnegie Mellon, UC Davis, Warwick, and Western Australia."
How many students get sponsored for international exchange each year?,Over 200 students are sponsored for international exchange programs every year. | Over 200 students are sponsored every year.
Which universities are part of the international exchange program at SRMIST?,"Some of the universities include MIT, Carnegie Mellon, UC Davis, University of Warwick, and University of Western Australia."
Is SRMIST recognized by UGC?,"Yes, SRMIST was granted deemed university status by the University Grants Commission (UGC) in 2002. | Yes, SRMIST is recognized by the University Grants Commission (UGC). | Yes, SRMIST is recognized by the University Grants Commission (UGC) and its distance education programs are approved by the Distance Education Bureau (DEB)."
Are there hostel facilities at SRMIST?,"Yes, SRMIST provides separate hostels for boys and girls across its campuses. | Yes, SRMIST has state-of-the-art sports facilities and actively participates in inter-college competitions."
Does SRMIST have placement assistance?,"Yes, SRMIST has a dedicated Training and Placement Cell that assists students with internships and job placements."
Are scholarships available at SRMIST?,"Yes, SRMIST offers scholarships based on academic performance, sports achievements, and other criteria."
Can I apply for lateral entry at SRMIST?,"Yes, lateral entry is available for Engineering, Architecture, and Health Science programs based on seat availability."
Is there an entrance exam for admission to SRMIST?,"Yes, SRMJEEE (SRM Joint Entrance Examination) is conducted for admissions, though some programs also accept JEE Main, NEET, etc. | SRMIST conducts its own entrance exam called SRMJEEE for engineering and other programs."
What is the fee structure for engineering programs at SRMIST?,Fee varies per program and campus; refer to the official website for updated fee details.
Are online/distance education programs available at SRMIST?,"Yes, SRMIST offers online and distance education programs through SRMIST-DDE and SRMonline platforms."
Is ragging allowed at SRMIST?,"No, ragging is strictly prohibited and results in immediate expulsion. | No, ragging is strictly prohibited with zero tolerance. Expulsion and legal action may follow. | No, SRMIST follows a strict zero-tolerance ragging policy. | No, SRMIST has a zero-tolerance policy towards ragging."
Are there research opportunities at SRMIST?,"Yes, SRMIST encourages interdisciplinary research and has several research centers across its campuses. | Yes, IoT is a major research focus area with dedicated labs and industry collaborations."
Can international students apply to SRMIST?,"Yes, international students can apply online and must submit additional documents such as equivalence certificates and proof of NRI status. | International students can apply online with a fee of USD 50 / INR 3000 or manually via email at admissions.ir@srmist.edu.in | Yes, international students are admitted to SRMIST. | Not explicitly stated, but general admission links suggest they may apply via same process. | Students can apply directly to SRM University by downloading the appropriate application form."
Are internships mandatory at SRMIST?,"Yes, internships are part of the curriculum and contribute to academic credit. | Internships are not strictly mandatory but are strongly encouraged and supported through internship cells and industry tie-ups. | Not always, but they're highly encouraged and often part of the curriculum."
Is there a medical college under SRMIST?,"Yes, SRM Medical College Hospital and Research Centre is part of SRMIST."
Are there industry tie-ups for placements?,"Yes, SRMIST has collaborations with numerous industries for internships, projects, and placements. | Yes, with wellness centers and health organizations"
Can I change my branch after joining SRMIST?,"Yes, branch change may be possible subject to availability of seats and internal policy guidelines. | Branch change policies aren't detailed in the dataset; interested students must check with the administration."
Is there a dress code at SRMIST?,"Yes, formal attire is expected in classrooms and during official events. | Formal attire is expected in classrooms and labs. T-shirts and jeans are acceptable within limits."
Does SRMIST conduct guest lectures and workshops?,"Yes, regular guest lectures, tech talks, and workshops are held as part of academic enrichment."
Is transportation available for SRMIST students?,"Yes, bus services are provided from various locations to the SRMIST campuses."
Can I pursue a minor along with my degree at SRMIST?,"Yes, you can pursue a minor certificate by completing an additional 20 credits in a different discipline."
Is there an option for an Honors Degree at SRMIST?,"Yes, an Honors Degree requires a CGPA of ≥ 8.5 and completion of 12 additional credits from electives, research, and co-curricular activities."
Can I transfer credits from another university to SRMIST?,"Yes, credit transfer is possible upon submission of an official transcript from the previous university."
Are NPTEL/Swayam courses considered for credit at SRMIST?,"Yes, NPTEL/MOOC/Swayam certifications are included in CLA-4 assessments for internal evaluation."
Does SRMIST provide medical insurance for students?,"Yes, medical insurance is required for international students and optional for others."
Is FRRO registration needed for international students?,"Yes, international students need to register with FRRO within 14 days of arrival in India."
Can I reappear for exams if I fail?,"Yes, multiple reappear attempts are allowed within the maximum duration of the program."
Is plagiarism allowed at SRMIST?,"No, plagiarism is considered malpractice and leads to penalties such as debarment or expulsion."
What is the grading system used at SRMIST?,"SRMIST uses a letter grade system ranging from O (Outstanding) to F (Fail), along with SGPA and CGPA calculations. | Yes, SRMIST uses a letter grade system ranging from O (Outstanding) to F (Fail), along with SGPA and CGPA calculations. | The institute uses a 10-point grading scale with grades O, A+, A, B+, B, C, F, Ab, and I."
What happens if I don't attend classes regularly?,Students must maintain a minimum attendance of 75%. Failure to do so results in an 'I' grade and disqualification from exams.
Can I take open electives from other departments?,"Yes, open electives allow students to choose courses from other disciplines. | Yes, open electives allow you to choose courses from other disciplines. | Yes, students from various disciplines can opt for statistical modules as open electives. | Yes, open electives allow students to choose statistical modules from the Centre. | Yes, open electives allow students from other disciplines to choose aerospace modules. | Yes, open electives allow students to choose aerospace modules from the department. | Yes, students from other disciplines can opt for Commerce modules as open electives. | Yes, open electives allow students to choose Commerce modules from the department. | Yes, open electives allow students to choose commerce modules from the department. | Yes, open electives allow students from other disciplines to choose strategic studies modules. | Yes, open electives allow students to choose strategic studies modules from the department. | Yes, open electives allow students to choose modules from other disciplines. | Yes, open electives allow students to choose entomology modules from the department. | Yes, open electives allow students from other disciplines to choose Hindi modules. | Yes, open electives allow students from other disciplines to choose natural resource modules. | Yes, open electives allow students from other disciplines to choose natural resources modules."
Is there a dress code for lab sessions?,"Yes, students are expected to follow safety protocols and wear appropriate attire during lab sessions. | Formal attire is expected in classrooms and during official events. | Yes, students are expected to follow safety protocols and wear appropriate lab attire. | Formal attire and safety protocols must be followed during lab visits. | Formal attire and appropriate behavior are expected during official visits or lab use. | Yes, students are expected to follow formal attire during official visits or lab use. | Yes, students are expected to follow formal attire and safety rules during official visits. | Yes, students are expected to follow safety protocols and wear appropriate lab attire when applicable. | Yes, students are expected to follow formal and safe lab protocols during field and lab visits. | Yes, students are expected to follow safety protocols and wear appropriate gear during lab use. | Yes, students are expected to follow formal and respectful behavior during official visits. | Yes, students are expected to follow safety protocols and wear appropriate gear during field or lab work. | Yes, students are expected to follow safety protocols and wear appropriate gear during lab or field visits."
Are there semester abroad programs at SRMIST?,"Yes, SRMIST sponsors students to study abroad at partner universities. | Yes, students are sponsored to study abroad at partner universities."
Can I publish research papers as an undergraduate student?,"Yes, undergraduates are encouraged to participate in research projects and publish under faculty guidance. | Yes, undergraduates are encouraged to participate in research and publish under faculty guidance. | Yes, undergraduates are encouraged to co-author peer-reviewed research papers."
Is there a cafeteria or mess facility on campus?,"Yes, SRMIST provides multiple dining options including cafeterias, canteens, and mess facilities. | Yes, multiple dining options including cafeterias, canteens, and mess facilities are available. | Yes, multiple dining options including cafeterias and mess facilities are available. | Not explicitly mentioned in this dataset"
Can I withdraw from a course after enrollment?,"Withdrawal is generally not allowed once the semester begins, except under exceptional circumstances. | Withdrawal is generally not allowed once the semester begins, but exceptions may be made under specific circumstances."
Are there provisions for online examinations?,"Yes, depending on the situation, SRMIST conducts online assessments and tests. | Yes, online assessments may be conducted depending on the situation and course requirements. | Yes, depending on the situation, SRM conducts online assessments and tests. | Yes, SRMIST conducts online assessments when needed. | Yes, short-term modules and simulations may be available online; contact the department for availability."
Can I retake a semester to improve my CGPA?,"Yes, you can retake a semester even if you passed, but it will count toward your total attempts. | Yes, you can retake a semester to improve your CGPA, but it will count toward your total attempts. | Yes, students can retake a semester even if they passed, but it will count toward total attempts. | Yes, students can retake semesters even if they passed, but it will count toward total attempts."
Are there any clubs or student organizations?,"Yes, SRMIST has various student-run clubs and organizations for cultural, technical, and social activities."
Can I get readmitted after withdrawing from SRMIST?,"Yes, former students who withdrew can seek readmission with approval from the Head of Department/School/College."
Is SRMIST NAAC accredited?,"Yes, SRMIST is accredited by NAAC with an A++ grade. | Yes, SRMIST holds an A++ grade from NAAC. | Yes, SRMIST is accredited by various bodies including NAAC, UGC, NIRF, ARIIA, and others."
Are there specializations in B.Sc programs?,"Yes, B.Sc programs offer specializations in Physics, Chemistry, Mathematics, Computer Science, Information Technology, Statistics, English, Economics, and Psychology. | Yes, Biotechnology with Regenerative Medicine | Yes, M.Sc. programs offer specializations in Biostatistics & Epidemiology and Health Data Science. | Specific LL.M specializations are not detailed in the dataset."
Is SRMIST approved by AICTE?,"Yes, SRMIST is approved by AICTE for all relevant programs."
Are there bridge courses for lateral entry students?,"Yes, lateral entry students may need to complete bridge courses in Mathematics, Physics, and Chemistry (each 2 credits). | Yes, bridge courses in Mathematics (2 credits), Physics (2 credits), and Chemistry (2 credits) may be required. | Yes, Foundation Design Studio (7 credits) and Interior Design 2D & 3D Graphics (4 credits)"
Can I apply for distance education at SRMIST?,"Yes, SRMIST offers diploma, undergraduate, and postgraduate programs through distance education (SRMIST-DDE)."
What is the minimum eligibility for B.Sc programs?,Candidates must pass 10+2 or equivalent with relevant subjects for each program.
Are there internship requirements for B.A programs?,"Yes, internships are part of the Project/Internship (P) category and contribute to academic credit."
What is the passing CGPA requirement for a B.Sc?,Students must maintain a CGPA ≥ 4.0 to pass within 6 semesters.
Are there lab components in B.Sc programs?,"Yes, theory courses often include practical components with a 50:50 ratio in combined courses."
Can I appear for competitive exams like JEE/NEET while studying at SRMIST?,"Yes, SRMIST supports students appearing for competitive exams alongside their studies."
Are there scholarship renewals based on performance?,"Yes, scholarships can be renewed based on maintaining academic standards and good conduct."
Is there a dress code for exams?,"Students are expected to dress formally during university exams. | No formal dress code exists for regular exams, but convocation has specified academic regalia. | Formal wear is not mandatory, but decent clothing is expected during exams. | Decent and neat clothing is expected during exams; formal attire is not required."
Can I use calculators in exams?,Use of scientific calculators is permitted unless restricted by the question paper instructions.
Are mobile phones allowed inside the campus?,"Mobile phones are allowed but restricted in classrooms and examination halls. | No, silence is expected and mobile phones are prohibited."
Is there a library at SRMIST?,"Yes, SRMIST has fully equipped libraries with digital resources and journals."
Are there accommodation options for staff and faculty?,"Yes, SRMIST provides housing facilities for faculty and staff. | Yes, housing facilities are available for faculty and staff."
Can I join PG programs after completing a B.Sc from SRMIST?,"Yes, SRMIST offers postgraduate programs in science, management, and technology fields. | Yes, postgraduate programs in science, management, and technology fields are available. | Yes, students can pursue M.Tech in Aerospace Engineering or related fields. | Yes, students can pursue M.Com, MBA, or other management programs after completing B.Com at SRMIST. | Yes, postgraduate programs such as M.Com, MBA, and research degrees are available. | Yes, postgraduate programs like M.Com, MBA, and research degrees are available. | Yes, postgraduate programs in commerce, management, and technology fields are available. | Yes, postgraduate programs in commerce, management, and research fields are available. | Yes, students can pursue M.Com, MBA, or other management programs after B.Com. | Yes, postgraduate programs in strategic studies, defense, and related fields are available. | Yes, postgraduate programs in strategic studies, defense, and security are available. | Yes, postgraduate programs in agricultural and related fields are available. | Yes, postgraduate programs in agricultural sciences, biotechnology, and management are available. | Yes, postgraduate programs in agricultural sciences, management, and technology fields are available. | Yes, postgraduate programs in Hindi, Literature, and Cultural Studies are available. | Yes, postgraduate programs in Hindi, Linguistics, and related fields are available. | Yes, postgraduate programs in Hindi, Literature, and Social Sciences are available. | Yes, postgraduate programs in Hindi, Journalism, and Social Sciences are available. | Yes, postgraduate programs in Hindi, Linguistics, and Social Sciences are available. | Yes, postgraduate programs in Natural Resources Management and related fields are available. | Yes, postgraduate programs in Natural Resources Management, Environmental Science, and Agronomy are available. | Yes, postgraduate programs in Natural Resources, Environmental Science, and Agronomy are available. | Yes, postgraduate programs in Natural Resources, Environmental Science, and related fields are available. | Yes, postgraduate programs in Natural Resources Management, Environmental Science, and related fields are available."
Is there a counseling center for mental health support?,"Yes, SRMIST has a student counseling center offering psychological and emotional support."
Are there extracurricular activities at SRMIST?,"Yes, SRMIST encourages participation in sports, arts, and technical competitions."
Can I apply for a dual degree at SRMIST?,"Yes, dual degree programs are available in select engineering branches."
Is there a student council or union at SRMIST?,"Yes, SRMIST has a Student Council that represents student interests. | Yes, a Student Council exists to represent student interests. | While no specific student body is mentioned, SRMIST has a Student Council that represents all student interests. | Yes, a university-wide Student Council exists to represent student interests. | Yes, a university-level Student Council exists to represent student interests. | Yes, SRMIST has student councils and representative bodies across campuses for student governance and feedback."
Can I work part-time while studying at SRMIST?,"International students on a student visa may face restrictions; domestic students may work part-time with permission. | Students may take up part-time or freelance opportunities depending on course load and university guidelines, though full-time focus on academics is encouraged. | No information about part-time work opportunities is included in the dataset."
Are there incubation centers for startups at SRMIST?,"Yes, SRMIST supports entrepreneurship through incubation centers and startup cells. | Yes, SRMIST supports entrepreneurship through incubation cells and startup mentoring."
Can I attend conferences and seminars as a student?,"Yes, students are encouraged to attend and present at national and international conferences."
Is there a provision for leave of absence?,"Yes, up to 10% absence can be condoned with approval from the Vice Chancellor."
Are there language labs for students?,"Yes, SRMIST has language labs to improve communication skills."
Can I opt for interdisciplinary electives?,"Yes, open electives allow students to explore courses from other disciplines."
Are there guest lectures from industry experts?,"Yes, regular guest lectures and Tech Talks are organized by faculties. | Yes, the college regularly invites professionals for guest lectures and interactive sessions. | Likely, through industrial expertise and collaboration | Yes, guest lectures and expert talks are regularly conducted. | Yes, regular expert talks and interactions are conducted. | Yes, expert talks and interactions are conducted regularly. | Likely, given the collaborations with industry stakeholders and research institutes. | Yes, SRMIST regularly hosts guest lectures and workshops by industry leaders and alumni. | Yes, regular guest lectures are held by experts from various fields. | While not explicitly mentioned, workshops and field visits suggest engagement with industry professionals."
What manages admissions at SRMIST?,SRM Joint Counselling Committee for Admissions (SRMJCCA) manages admissions across all SRMIST campuses.
How can I apply to SRMIST?,Applications can be submitted online through the official admission portal: https://applications.srmist.edu.in
What is the application fee for Engineering & Technology programs?,The application fee for Engineering & Technology programs is Rs.1400/-
What is the application fee for other programs?,The application fee for other programs is Rs.1200/-
When is the last date to apply?,Please check the latest updates on the official website: https://www.srmist.edu.in
Who can apply for admissions in India?,"Resident Indians, Non-Resident Indians (NRIs), Persons of Indian Origin (PIO), and Overseas Citizens of India (OCI) can apply."
Which regulatory bodies govern admissions at SRMIST?,"UGC, AICTE, COA, NMC, DCI, PCI, INC, RCI, and ICAR are the regulatory bodies governing admissions."
Through which modes can one get admitted to SRMIST?,"Admission modes include SRM Joint Entrance Examination (SRMJEE), qualifying examination marks, department-level selection, NATA/IITJEE Mains - Paper II, PGETA, GMAT, CAT, MAT, XAT, TANCET, CMAT (for MBA), CUET, CLAT, and NEET (UG & PG)."
What are the faculties offering programs at SRMIST?,"Faculty of Engineering and Technology, Faculty of Medicine and Health Sciences, Faculty of Management, Faculty of Science and Humanities, Faculty of Agricultural Sciences, Faculty of Law, Directorate of Distance Education, and Directorate of Online Education."
What is the duration of the SRMJEEE (UG) entrance exam?,The duration of the SRMJEEE (UG) entrance exam is 2.30 hours. | The SRMJEEE (PG) entrance exam lasts 2.30 hours and consists of 100 MCQs based on the syllabus specific to the program.
What type of questions are asked in SRMJEEE exams?,Multiple Choice Questions (MCQs) are asked in SRMJEEE exams.
What subjects are covered in SRMJEEE (UG)?,"Physics, Chemistry, Mathematics/Biology, English, and Aptitude are the subjects covered in SRMJEEE (UG)."
How many questions are there in SRMJEEE (UG)?,There are a total of 130 questions in the SRMJEEE (UG) exam.
How is the SRMJEEE scored?,Each correct answer carries 1 mark with no negative marking.
How does the counseling process work at SRMIST?,Counseling is conducted online and allotments are published on the SRM Online Admission Portal.
Is payment required after counseling?,"Yes, payment is required after counseling as part of the seat confirmation process."
Are refunds possible at SRMIST?,"Yes, refunds are processed as per UGC/AICTE guidelines."
Is document verification mandatory during counseling?,"Yes, document verification is mandatory during the counseling process."
Does SRMIST offer scholarships?,"Yes, SRMIST offers scholarships based on academic excellence, sports performance, and other criteria."
For which programs are scholarships not applicable?,"Scholarships are not applicable for MBBS, BDS, all PG Medicine programmes, and Allied Health Sciences programs."
When are scholarships awarded?,Scholarships are awarded in June/July every year.
Under what conditions can a scholarship be revoked?,"A scholarship can be revoked due to misbehavior, indiscipline, malpractice, or fraudulence."
How long does it take to process refunds?,Refunds are processed within 30 working days.
How are refunds made?,Refunds are transferred via RTGS / NEFT.
Who handles refund requests before enrollment?,"Refund requests before enrollment are handled by the Directorate of Admissions. | After enrollment, refund requests are handled by the respective college or school."
What documents are required for international admissions?,"Required documents include 10th and 12th/Bachelor/Master’s degree certificates, passport copy, proof of NRI status, equivalence certificate (AIU), migration certificate, and NATA score card (if applicable)."
Can international students get provisional admission?,"Yes, international students can receive provisional admission based on predicted scores."
Is provisional admission valid for visa purposes?,"No, provisional admission is not valid for visa purposes."
When is confirmed admission given to international students?,Confirmed admission is given upon receipt of full fees and final documents.
Can confirmed admission be used for a student visa?,"Yes, confirmed admission can be used for obtaining a student visa."
What are the requirements for registration for international students?,"Registration requires original certificates, a valid student visa, medical insurance, and FRRO registration (except for PIO/OCI holders)."
What distance education programs does SRMIST offer?,"SRMIST-DDE offers diploma, undergraduate, and postgraduate programs through distance education."
What are the highlights of SRMIST-DDE programs?,"Highlights include flexible learning, industry expert inputs, self-paced study, affordability, and time-saving features."
How can I apply for distance education programs?,Applications for distance education programs can be submitted online at https://www.srmist.edu.in
What are the durations of DDE programs?,B.A./B.Com./B.B.A./B.C.A. programs are 3 years long; M.A./M.Com./M.C.A./M.B.A. programs are 2 years long.
What is the eligibility for undergraduate DDE programs?,Candidates must have completed 10+2 from a recognized board. | Candidates must hold a bachelor's degree from a recognized university.
Are online education programs UGC approved?,"Yes, online education programs at SRMIST are UGC approved and equivalent to regular programs."
What is the application portal for online education?,The application portal for online education is www.srmonline.in
What documents are required for online education programs?,"Required documents include 10th, 12th, and qualifying degree marksheet, photograph, identity proof, birth certificate, and passport (for foreign students)."
What are the eligibility criteria for an online MBA?,"Applicants must have a bachelor's degree with at least 50% marks. However, this requirement is waived if they have appeared for CAT, MAT, GMAT, or GRE."
What is the minimum qualification for an online MCA?,Graduation with a background in Mathematics or Statistics is required. A bridge course may also be necessary.
What is the eligibility for an online MCom?,Applicants must have a bachelor's degree with accounts as a subject. | Candidates must have a graduate degree in any discipline from a recognized university with a minimum of 50% marks.
What is the eligibility for BBA Digital Marketing under online education?,10+2 with at least 50% marks is required.
What is the eligibility for BCA Data Science under online education?,10+2 or a Diploma with at least 50% marks is required.
Are lateral entry options available?,"Yes, lateral entry is available for Engineering, Architecture, and Health Science programs based on seat availability."
Can former students rejoin SRMIST?,"Yes, former students who withdrew can seek readmission with approval from the Head of Department/School/College."
Is credit transfer possible at SRMIST?,"Yes, credit transfer is possible upon submission of an official transcript from the previous university."
How can I contact SRMIST for admissions in India?,You can contact SRMIST for admissions via email at admissions.india@srmist.edu.in | You can contact via email at admissions.india@srmist.edu.in
Are third-party consultants authorized for SRMIST admissions?,"No, only official channels are valid. Any third-party websites or consultants are fake."
Is there any third-party agent authorized for SRMIST admissions?,"No, only official channels are valid. Any third-party websites or consultants are fake."
Where can I find the list of eligible courses?,The list of eligible courses can be found on the SRMIST official website or through the admission portal.
Do I need to appear for an entrance exam for all programs?,"No, some programs admit based on qualifying examination marks or other standardized tests like JEE, NEET, etc."
Are there any special quotas for admissions?,"Yes, certain categories like NRI, PIO, and OCI have separate quotas and admission procedures."
Can I change my selected program after admission?,"Yes, but only if the new program is available and a seat exists."
Is there any capitation fee charged at SRMIST?,"No, SRMIST does not charge any capitation fee."
Are hostel facilities available for students?,"Yes, SRMIST provides separate hostels for boys and girls across its campuses. | The dataset does not include housing or hostel information; contact the university for details. | This information isn't provided in the current dataset."
Is transportation facility available?,"Yes, SRMIST offers bus services from various locations to the campus. | Not specified in this dataset"
Are there any research opportunities for undergraduates?,"Yes, students are encouraged to participate in research projects and publish papers under faculty guidance. | Yes, SRMIST encourages undergraduate research through projects, innovation labs, and collaboration with faculty."
Can I pursue internships during my studies?,"Yes, internships are part of the curriculum and contribute to academic credits."
Are guest lectures and workshops conducted regularly?,"Yes, tech talks and guest lectures are included in internal assessments. | Yes, the center organizes regular guest lectures, workshops, and training sessions with industry experts. | Not specified here, but likely as part of the experiential learning approach."
Are internships mandatory in UG programs?,"Yes, internships are part of the Project/Internship (P) category and contribute to academic credit. | Internships are available and encouraged, though it's not explicitly stated if they're mandatory."
Are lab sessions part of theoretical courses?,Some theory courses may include practical components depending on the syllabus.
Can I repeat a failed course multiple times?,"Yes, multiple reappear attempts are allowed within the maximum duration of the program."
What happens if I fail in a course even after reappear exams?,You can continue attempting until the maximum duration of the program.
Can I submit assignments late?,Late submissions may not be accepted unless there is a valid reason and permission from the concerned faculty.
Is plagiarism allowed in assignments?,"No, plagiarism is strictly prohibited and considered a form of malpractice. | No, plagiarism is strictly prohibited and considered malpractice."
Is ragging allowed on campus?,"No, ragging is strictly prohibited and results in immediate expulsion. | Parking permits are issued through the designated office; however, specific details about availability are not mentioned."
What are the consequences of cheating in exams?,"Penalties include failing the subject, cancellation of written papers, debarment, and possible expulsion."
What degrees are offered under the UG Science and Humanities program at SRMIST?,Bachelor of Science (B.Sc) and Bachelor of Arts (B.A) are offered.
What specializations are available in B.Sc programs at SRMIST?,"Specializations include Physics, Chemistry, Mathematics, Computer Science, Information Technology, Statistics, English, Economics, and Psychology."
What is the mode of instruction for UG Science and Humanities programs at SRMIST?,The Choice Based Flexible Credit System (CBFCS) is used.
In which language are courses taught at SRMIST?,"All instruction, examinations, and project reports are conducted in English."
What is the objective of the UG Science and Humanities program?,"To provide undergraduate education in science and humanities disciplines with emphasis on academic excellence, professional competence, and ethical values."
